Point,year,season ,Carcar,Gaenig,Nentri,Elevation ,Slope,CC,CO,Aspect,Soil,LC,PA.sp,PA.other
37,1995,w,28,2,13,370.525,15.825,1,6.25,6,1,3,8,28
40,1995,w,13,2,9,381.225,22.2,1,3,7,1,3,8,22
43,1995,w,4,1,10,393.825,22.95,1,3.5,8,1,1,2,21
46,1995,w,5,1,5,403.35,23.9,1,2.5,8,1,2,18,26
49,1995,w,1,1,1,417.475,24.475,1,4,8,1,4,1,58
88,1995,w,3,3,3,365.05,33.225,1,1.5,7,1,1,0,25
91,1995,w,6,1,1,376.7,28.3,1,3,7,1,2,21,17
94,1995,w,4,2,6,388.35,15.7,1,3.75,8,1,1,19,25
97,1995,w,14,2,0,398.575,20.225,1,6,8,1,2,17,32
100,1995,w,2,1,0,405.1,20.8,1,1.75,1,1,3,16,23
139,1995,w,12,0,20,370.825,25.475,1,2,7,4,4,18,25
142,1995,w,17,3,7,383.875,23.475,1,4.75,8,4,3,3,19
145,1995,w,6,0,8,388.775,20.425,3,2.5,2,4,3,0,48
148,1995,w,24,1,10,392.75,10.95,3,2,6,4,2,4,35
151,1995,w,10,1,13,398.125,14.075,3,5.75,6,4,3,39,42
190,1995,w,31,0,13,362.875,26.35,1,2.75,1,6,3,7,46
193,1995,w,38,3,5,368.725,31.225,3,2.75,1,6,2,1,93
196,1995,w,3,0,5,374.65,36.7,3,3.5,8,4,2,6,88
199,1995,w,2,1,10,386.625,35.475,3,3.5,8,1,1,2,29
202,1995,w,4,0,5,399.275,37.05,3,3.25,7,1,1,0,50
241,1995,w,8,1,6,357.675,20.2,2,1.75,5,1,4,9,24
244,1995,w,11,0,11,366.425,23.625,3,3.75,6,1,5,20,63
247,1995,w,8,0,5,371.575,12.275,3,3.5,7,1,2,14,64
250,1995,w,7,0,18,381.375,35.475,3,4.25,8,1,2,13,68
253,1995,w,7,0,3,407.5,25.85,3,4.25,7,1,3,12,77
292,1995,w,8,1,19,354.875,24.8,2,2.5,1,1,4,4,20
295,1995,w,5,1,8,363.525,27.25,2,5.5,8,1,2,17,49
298,1995,w,7,3,14,371.575,26.475,2,4.5,8,1,3,5,26
301,1995,w,13,1,24,379.325,8.9,2,3,7,1,2,5,54
304,1995,w,12,1,3,395.6,46.05,3,8.75,8,1,2,14,86
343,1995,w,14,1,4,346.1,15.7,2,2,1,4,2,2,16
346,1995,w,12,0,15,357.05,22.6,2,6.25,7,1,2,0,68
349,1995,w,5,0,29,370.475,19.65,2,5,7,1,1,0,61
352,1995,w,9,3,8,378.325,13.475,2,5,8,1,5,7,24
355,1995,w,6,3,10,381.825,10.9,3,4.75,8,4,3,17,46
394,1995,w,13,1,7,345.75,31.65,2,3.25,6,1,4,1,70
397,1995,w,5,0,5,357.525,16.9,2,3,8,1,2,0,39
400,1995,w,3,0,13,364.75,24.75,2,2,8,1,4,8,61
403,1995,w,2,0,7,371.975,20.125,2,2.25,8,1,3,3,44
406,1995,w,2,0,3,376.2,19.65,2,5.75,1,1,2,9,42
55,1995,w,18,2,3,373.25,12.525,1,4,7,1,2,4,11
56,1995,w,14,3,11,376.2,17.75,1,5.75,7,1,3,0,28
58,1995,w,4,1,6,384.625,21.475,1,2.5,7,1,4,10,28
59,1995,w,3,1,10,388.25,18.675,1,1.25,8,1,3,15,2
61,1995,w,10,1,9,394.9,16.575,1,2,8,1,4,4,13
62,1995,w,7,4,2,397.975,15.875,1,1,8,1,3,6,7
64,1995,w,6,2,4,406.925,21.45,1,0.25,8,1,2,10,13
65,1995,w,6,5,3,410.85,21.7,1,0.75,8,1,3,9,20
72,1995,w,7,3,6,371.225,25.55,1,3.25,8,1,2,3,14
73,1995,w,24,0,6,374.425,26.625,1,4.5,8,1,2,0,6
75,1995,w,4,2,10,382.575,22.875,1,1.5,8,1,3,6,10
76,1995,w,3,0,4,386.6,19.625,1,2,8,1,4,0,24
78,1995,w,2,0,1,393.25,19.025,1,4.75,8,1,3,4,3
79,1995,w,5,4,10,396.9,18.3,1,1.75,7,1,4,0,8
81,1995,w,8,1,4,404.825,23.5,1,2.25,8,1,2,4,4
82,1995,w,3,1,1,407.8,19.9,1,2.25,8,1,4,0,6
106,1995,w,5,2,6,370.9,31.55,1,1.5,6,1,3,7,3
107,1995,w,15,1,17,375.175,32.35,1,3.25,6,1,4,15,13
109,1995,w,18,3,15,382.65,29.1,1,3,6,1,3,13,1
110,1995,w,18,2,4,385.85,24.575,1,2.25,7,1,3,8,20
112,1995,w,6,2,7,390.525,15.825,3,1.75,8,1,3,1,5
113,1995,w,9,2,2,392.875,19.4,3,4.75,8,1,1,1,15
115,1995,w,5,2,2,397.225,26.05,3,2.25,1,1,2,6,9
116,1995,w,3,3,2,399.175,26.225,3,2,1,1,2,7,8
123,1995,w,20,0,13,374.425,26.6,1,1.25,7,4,3,5,3
124,1995,w,23,0,4,379.175,25.6,1,3.25,7,4,3,0,3
126,1995,w,43,0,6,386.475,27.55,1,4,6,1,3,2,11
133,1995,w,4,3,0,395.725,20.7,3,6.5,7,1,3,12,46
157,1995,w,16,1,11,374.4,26.175,1,2,8,4,3,1,8
158,1995,w,7,0,17,377.55,27.275,1,1.5,1,4,4,0,7
160,1995,w,11,0,4,382.95,31.725,3,1.5,8,4,3,0,24
161,1995,w,8,0,4,384.275,31.825,3,2,1,4,2,15,13
163,1995,w,27,0,10,386.95,27.375,3,1,8,4,2,5,31
164,1995,w,10,0,14,390.7,17.975,3,2.5,8,4,3,5,28
166,1995,w,19,0,15,394.625,7.7,3,4.5,7,4,2,0,18
167,1995,w,7,2,9,396.45,11.6,3,2.25,6,4,4,10,7
174,1995,w,16,0,2,370.125,27.5,1,0.5,1,6,4,1,5
175,1995,w,11,1,9,372.425,27.6,3,2.25,1,6,2,1,17
177,1995,w,22,1,7,376.7,35.3,3,1.75,1,4,3,1,6
178,1995,w,14,3,2,377.95,36.95,3,2.5,1,4,2,14,1
180,1995,w,23,0,32,383.275,33.35,3,1,8,4,1,21,38
181,1995,w,5,0,5,387.25,29.15,3,1.25,1,4,1,4,17
183,1995,w,7,1,5,393.1,24.775,3,5,8,4,2,9,27
184,1995,w,9,1,7,395.775,22.2,3,5.75,7,4,4,11,14
208,1995,w,3,2,5,358.95,25.15,3,4.5,1,1,3,4,9
209,1995,w,5,0,8,361,29.375,3,0.75,8,1,2,6,8
214,1995,w,1,8,7,375.925,20.6,3,2.75,8,1,1,16,12
215,1995,w,12,0,28,379.575,26.425,3,2,8,1,1,11,10
217,1995,w,5,1,10,392.375,39.975,3,7,7,1,2,12,23
218,1995,w,14,0,11,398.3,35.475,3,8.25,6,1,3,7,47
226,1995,w,1,0,2,359.65,26.775,3,8,7,1,1,0,0
228,1995,w,4,0,14,365.725,18.575,3,6.75,6,1,3,6,26
229,1995,w,8,0,11,368.3,21.15,3,5.5,6,1,1,6,16
231,1995,w,8,0,12,373.975,12.025,3,4.75,8,1,3,6,6
232,1995,w,2,0,6,377.1,23.425,3,5.25,8,1,2,9,23
234,1995,w,16,0,35,393.075,49.675,3,4.25,7,1,4,0,22
235,1995,w,11,0,22,401.5,34,3,4.5,7,1,3,0,4
259,1995,w,10,0,12,362.45,22.8,2,2.75,7,1,3,5,18
260,1995,w,6,0,34,365.95,19.05,2,5.25,7,1,2,3,5
265,1995,w,12,0,11,374.9,14.4,2,5.25,6,1,3,15,19
266,1995,w,9,2,20,376.725,10.525,3,5.5,6,1,2,0,34
268,1995,w,24,1,23,387.775,48.6,3,4.75,7,1,2,0,2
269,1995,w,16,4,31,397.4,49.575,3,6,8,1,2,1,13
276,1995,w,11,0,17,361.9,23.95,2,4.5,8,1,2,3,62
277,1995,w,10,1,7,365,20.825,2,4.5,8,1,2,0,37
279,1995,w,11,0,18,368.225,10.575,2,3.25,8,1,3,1,33
280,1995,w,6,0,12,370.05,13.425,2,3.5,7,1,1,11,21
282,1995,w,10,0,7,376.15,14.05,2,2.75,7,1,3,14,9
283,1995,w,3,0,8,377.675,5.8,2,5.5,6,1,3,2,34
285,1995,w,4,1,19,385.075,36.575,3,5.25,8,1,2,0,8
286,1995,w,6,1,10,393.1,45.15,3,4,8,1,2,0,26
310,1995,w,6,1,13,352.2,26.625,2,5.75,1,1,1,0,5
311,1995,w,2,0,7,355,33.525,2,5.75,1,1,1,1,6
313,1995,w,11,0,17,363.55,27.15,2,4.25,8,1,1,7,5
314,1995,w,5,0,16,366.225,28.275,2,4,8,1,1,5,16
316,1995,w,11,1,12,373.85,24.675,2,6,7,1,4,6,22
317,1995,w,5,0,3,377.175,10.35,2,3.25,7,1,4,11,10
319,1995,w,12,0,12,381.2,15.625,3,6,7,1,4,1,13
320,1995,w,9,0,10,384.925,28.725,3,3.75,8,1,3,7,6
327,1995,w,15,0,22,348.9,16.15,2,4,8,4,2,9,12
328,1995,w,6,0,23,352,29.5,2,4,7,1,2,3,11
330,1995,w,5,0,22,362.075,21.65,2,5.5,8,1,3,5,16
331,1995,w,1,0,1,365.925,23.95,2,4.5,7,1,5,0,33
333,1995,w,0,0,8,373.875,18.675,2,4.25,7,1,4,1,15
334,1995,w,5,0,8,377.05,11.075,2,4.5,7,1,5,11,9
336,1995,w,7,0,14,380.3,7.175,3,5.75,7,1,4,2,4
337,1995,w,4,3,16,382.075,15.4,3,2.25,8,1,5,21,0
361,1995,w,8,1,11,347.175,25.175,2,2.25,7,4,4,0,12
362,1995,w,4,2,10,352.4,26.475,2,2.25,7,4,2,1,8
364,1995,w,4,3,38,362.425,22.45,2,5.25,7,1,2,0,24
365,1995,w,10,1,14,366.65,18.05,2,1.25,6,1,2,1,21
367,1995,w,7,0,11,372.9,16.125,2,6.75,8,1,3,2,26
368,1995,w,15,3,9,374.575,15.925,2,3.25,1,1,3,2,8
370,1995,w,5,2,7,378.05,14.5,2,2,8,1,4,2,15
371,1995,w,5,2,8,379.725,7.9,2,2,8,4,4,4,3
378,1995,w,6,2,8,348.375,31.575,2,3.25,6,1,4,1,5
379,1995,w,9,1,12,353.575,23.8,2,2.75,7,1,4,13,5
381,1995,w,9,1,8,362.6,26.775,2,2.25,8,1,3,5,21
382,1995,w,10,0,18,366.025,22.35,2,1.75,8,1,2,0,30
384,1995,w,14,0,17,370.5,17.875,2,1.5,1,1,4,12,27
385,1995,w,10,2,24,371.95,13.825,2,2.25,1,1,2,1,16
387,1995,w,2,2,14,376.6,14.75,2,2.25,7,1,5,8,15
388,1995,w,8,0,4,378.425,10.45,2,1.75,8,1,3,0,10
412,1995,w,1,1,9,351.025,17.75,2,5,8,1,3,0,9
413,1995,w,10,0,21,353.95,14.225,2,4,8,1,3,0,20
415,1995,w,6,4,9,357.125,14.45,2,2.5,8,1,4,4,4
416,1995,w,0,0,12,359.075,16.9,2,5,8,1,5,1,26
418,1995,w,1,3,22,363.175,18.7,2,3.75,8,1,4,7,11
419,1995,w,3,0,26,365.7,24.975,2,1.75,8,1,4,2,36
421,1995,w,3,4,6,371.7,19.1,2,0.75,1,1,4,0,20
422,1995,w,9,3,7,372.15,20.15,2,4.25,1,1,4,7,17
